X Y Z
431570.4456298104 5303994.927262843 1054.1887533691408
431570.4425704227 5303994.913462836 1054.1887533691408
431570.4407254267 5303994.8994487 1054.1887533691408
431570.4401088639 5303994.8853270905 1054.1887533691408
431570.4407254267 5303994.871205481 1054.1887533691408
431570.4425704227 5303994.857191345 1054.1887533691408
431570.4456298104 5303994.843391338 1054.1887533691408
431570.449880306 5303994.829910489 1054.1887533691408
431570.4552895605 5303994.816851393 1054.1887533691408
431570.46181640646 5303994.804313439 1054.1887533691408
431570.4694111705 5303994.792392047 1054.1887533691408
431570.47801605193 5303994.781177947 1054.1887533691408
431570.4875655624 5303994.770756486 1054.1887533691408
431570.49798702425 5303994.761206975 1054.1887533691408
431570.5092011241 5303994.752602094 1054.1887533691408
431570.52112251567 5303994.74500733 1054.1887533691408
431570.5336604701 5303994.738480484 1054.1887533691408
431570.5467195658 5303994.733071229 1054.1887533691408
431570.5602004154 5303994.728820734 1054.1887533691408
431570.5740004214 5303994.725761346 1054.1887533691408
431570.5880145574 5303994.72391635 1054.1887533691408
431570.60213616735 5303994.723299787 1054.1887533691408
431570.6162577773 5303994.72391635 1054.1887533691408
431570.6302719133 5303994.725761346 1054.1887533691408
431570.6440719193 5303994.728820734 1054.1887533691408
431570.6575527689 5303994.733071229 1054.1887533691408
431570.6706118647 5303994.738480484 1054.1887533691408
431570.68314981903 5303994.74500733 1054.1887533691408
431570.6950712106 5303994.752602094 1054.1887533691408
431570.7062853104 5303994.761206975 1054.1887533691408
431570.71670677233 5303994.770756486 1054.1887533691408
431570.7262562828 5303994.781177947 1054.1887533691408
431570.7348611642 5303994.792392047 1054.1887533691408
431570.7424559282 5303994.804313439 1054.1887533691408
431570.74898277415 5303994.816851393 1054.1887533691408
431570.7543920287 5303994.829910489 1054.1887533691408
431570.7586425243 5303994.843391338 1054.1887533691408
431570.761701912 5303994.857191345 1054.1887533691408
431570.763546908 5303994.871205481 1054.1887533691408
431688.5856796649 5304042.500409132 1053.296785595703
431688.5849330312 5304042.517509856 1053.296785595703
431688.5826988122 5304042.534480434 1053.296785595703
431688.5789940119 5304042.551191708 1053.296785595703
431688.5738468259 5304042.567516496 1053.296785595703
431688.5672964276 5304042.583330557 1053.296785595703
431688.5593926692 5304042.598513535 1053.296785595703
431688.5501957032 5304042.612949881 1053.296785595703
431688.5397755241 5304042.6265297225 1053.296785595703
431688.52821143577 5304042.639149711 1053.296785595703
431688.5155914478 5304042.650713799 1053.296785595703
431688.50201160606 5304042.661133978 1053.296785595703
431688.4875752612 5304042.670330944 1053.296785595703
431688.4723922826 5304042.678234702 1053.296785595703
431688.4565782219 5304042.684785101 1053.296785595703
431688.44025343366 5304042.689932287 1053.296785595703
431688.4235421594 5304042.693637087 1053.296785595703
431688.4065715818 5304042.695871306 1053.296785595703
431688.3894708575 5304042.69661794 1053.296785595703
431688.3723701332 5304042.695871306 1053.296785595703
431688.3553995557 5304042.693637087 1053.296785595703
431688.33868828136 5304042.689932287 1053.296785595703
431688.3223634931 5304042.684785101 1053.296785595703
431688.3065494324 5304042.678234702 1053.296785595703
431688.2913664538 5304042.670330944 1053.296785595703
431688.27693010896 5304042.661133978 1053.296785595703
431688.2633502672 5304042.650713799 1053.296785595703
431688.25073027925 5304042.639149711 1053.296785595703
431688.2391661909 5304042.6265297225 1053.296785595703
431688.2287460119 5304042.612949881 1053.296785595703
431688.2195490458 5304042.598513535 1053.296785595703
431688.21164528746 5304042.583330557 1053.296785595703
431688.2050948891 5304042.567516496 1053.296785595703
431688.1999477031 5304042.551191708 1053.296785595703
431688.1962429028 5304042.534480434 1053.296785595703
431688.19400868384 5304042.517509856 1053.296785595703
431688.1932620501 5304042.500409132 1053.296785595703
431688.19400868384 5304042.483308408 1053.296785595703
431688.1962429028 5304042.46633783 1053.296785595703
431688.1999477031 5304042.449626556 1053.296785595703
431688.2050948891 5304042.433301767 1053.296785595703
431688.21164528746 5304042.417487707 1053.296785595703
431688.2195490458 5304042.4023047285 1053.296785595703
431688.2287460119 5304042.387868383 1053.296785595703
431688.2391661909 5304042.374288541 1053.296785595703
431688.25073027925 5304042.361668553 1053.296785595703
431688.2633502672 5304042.350104465 1053.296785595703
431688.27693010896 5304042.339684286 1053.296785595703
431688.2913664538 5304042.33048732 1053.296785595703
431688.3065494324 5304042.322583562 1053.296785595703
431688.3223634931 5304042.316033163 1053.296785595703
431688.33868828136 5304042.310885977 1053.296785595703
431688.3553995557 5304042.307181177 1053.296785595703
431688.3723701332 5304042.304946958 1053.296785595703
431688.3894708575 5304042.304200324 1053.296785595703
431688.4065715818 5304042.304946958 1053.296785595703
431688.4235421594 5304042.307181177 1053.296785595703
431688.44025343366 5304042.310885977 1053.296785595703
431688.4565782219 5304042.316033163 1053.296785595703
431688.4723922826 5304042.322583562 1053.296785595703
431688.4875752612 5304042.33048732 1053.296785595703
431688.50201160606 5304042.339684286 1053.296785595703
431688.5155914478 5304042.350104465 1053.296785595703
431688.52821143577 5304042.361668553 1053.296785595703
431688.5397755241 5304042.374288541 1053.296785595703
431688.5501957032 5304042.387868383 1053.296785595703
431688.5593926692 5304042.4023047285 1053.296785595703
431688.5672964276 5304042.417487707 1053.296785595703
431688.5738468259 5304042.433301767 1053.296785595703
431688.5789940119 5304042.449626556 1053.296785595703
431688.5826988122 5304042.46633783 1053.296785595703
431688.5849330312 5304042.483308408 1053.296785595703
