inv_index,x,y,predinstance,nn_dist_m,tile_name,note
102,416786.3978,5346688.316,3247,0.006390617313972123,tile_122.laz,ok
103,416787.832217808,5346684.691668,3252,0.002775048669382053,tile_122.laz,ok
104,416786.5233,5346680.56,3252,0.003299999982118738,tile_122.laz,ok
105,416785.3661,5346682.18,3252,0.0039000000106170774,tile_122.laz,ok
106,416782.9444,5346680.155,3252,0.006660330222489315,tile_122.laz,ok
107,416779.9355,5346679.988,3069,0.004924429016594034,tile_122.laz,ok
108,416779.5873,5346684.647,3248,0.004036087587540719,tile_122.laz,ok
109,416779.2921,5346674.314,2898,0.004517742547402562,tile_122.laz,ok
110,416777.241,5346669.643,2905,0.003162278123285449,tile_122.laz,ok
111,416780.7954,5346671.081,2901,0.00470744093918084,tile_122.laz,ok
112,416782.623,5346672.773,3072,0.004242640394725537,tile_122.laz,ok
113,416785.2335,5346672.814,-1,0.006946222035551085,tile_122.laz,ok
114,416787.3286,5346675.382,3073,0.0024413113964651973,tile_122.laz,ok
115,416791.065,5346675.113,3254,0.005830951672674092,tile_122.laz,ok
116,416791.969088358,5346673.5349121,3254,0.004995979950439859,tile_122.laz,ok
117,416791.3361,5346673.34,-1,0.0039000000106170774,tile_122.laz,ok
118,416784.886509064,5346669.62631893,-1,0.005073156003853675,tile_122.laz,ok
119,416782.770616307,5346669.17946205,2903,0.0008180611590702812,tile_122.laz,ok
120,416781.101283168,5346666.47593415,-1,0.004263526988001268,tile_122.laz,ok
121,416790.0295,5346666.47,-1,0.0005000000237487257,tile_122.laz,ok
122,416791.051,5346664.971,3077,0.009055385176139522,tile_122.laz,ok
123,416793.4325,5346668.997,3081,0.007433034577921544,tile_122.laz,ok
124,416796.2274,5346665.835,3085,0.005635601025553423,tile_122.laz,ok
125,416797.2301,5346666.926,3083,0.0040012495292818424,tile_122.laz,ok
126,416801.091,5346673.142,3414,0.002236068265926126,tile_122.laz,ok
127,416799.5924,5346675.157,3416,0.003841874924930177,tile_122.laz,ok
128,416801.3206,5346677.278,3415,0.002088061607245166,tile_122.laz,ok
129,416802.4877,5346674.636,3414,0.004614108555467759,tile_122.laz,ok
130,416801.624,5346668.727,3419,0.0050000003073364645,tile_122.laz,ok
131,416800.6086,5346665.23,3083,0.008599999942816794,tile_122.laz,ok
132,416798.8622,5346658.732,3082,0.002973213334686928,tile_122.laz,ok
133,416796.9567,5346652.567,-1,0.004459820984813575,tile_122.laz,ok
134,416793.8844,5346651.862,2907,0.004833218118004184,tile_122.laz,ok
135,416791.9398,5346653.199,2909,0.0010198040653112584,tile_122.laz,ok
136,416792.9267,5346655.155,-1,0.005990826217175367,tile_122.laz,ok
137,416790.184,5346656.118,2911,0.004472136115352134,tile_122.laz,ok
138,416790.7064,5346658.382,2911,0.004118252212425892,tile_122.laz,ok
139,416786.1092,5346652.551,2752,0.0012806249628560479,tile_122.laz,ok
