name,species,plot_id,dbh_cm,inv_height_m,pc_height_m,crown_area,n_points,ground_pct,z_p05,z_p50,z_p95,flag_ground,flag_dbh,flag_height,flag_crown,flag_height_mismatch
11_104,Beech,11.0,15.3,27.96540497,20.56,21.6,92071,0.004,3.410000000000082,11.670000000000073,18.370000000000005,False,False,False,False,True
11_105,Spruce,11.0,20.4,23.65746203,29.13,33.08,307229,0.0,13.079999999999927,18.139999999999986,23.25999999999999,False,False,False,False,True
11_106,Spruce,11.0,63.0,32.91569184,33.05,44.53,779529,0.001,13.139999999999986,21.3599999999999,29.279999999999973,False,False,False,False,False
11_107,Beech,11.0,13.7,27.74826433,16.68,25.75,52181,0.003,8.259999999999991,12.970000000000027,16.029999999999973,False,False,False,False,True
11_108,Beech,11.0,39.8,28.08773675,29.45,50.11,267190,0.002,9.42999999999995,21.659999999999968,26.889999999999986,False,False,False,False,False
11_109,Beech,11.0,9.5,29.20707733,16.07,21.61,41472,0.004,2.080000000000041,7.860000000000014,13.580000000000041,False,False,False,False,True
11_11,Beech,11.0,8.0,,18.11,32.91,94147,0.005,2.310000000000059,7.710000000000036,15.399999999999977,False,False,False,False,False
11_110,Spruce,11.0,48.1,29.69162008,29.71,48.56,535549,0.002,8.92999999999995,17.100000000000023,25.659999999999968,False,False,False,False,False
11_111,Beech,11.0,8.9,,17.2,25.19,43669,0.005,1.5499999999999545,9.450000000000045,14.82000000000005,False,False,False,False,False
11_112,Beech,11.0,13.1,29.080744,4.98,8.11,26600,0.007,0.8599999999999,2.25,4.389999999999986,False,False,False,False,True
11_113,Spruce,11.0,51.6,32.61284084,10.42,1.2,17509,0.045,0.5499999999999545,5.199999999999932,9.909999999999968,False,False,False,False,True
11_114,Beech,11.0,13.4,31.26105225,22.24,37.41,316868,0.003,6.3700000000000045,12.610000000000014,18.980000000000018,False,False,False,False,True
11_115,Beech,11.0,11.5,29.33291334,1.62,0.67,410,0.451,0.05999999999994543,0.5999999999999659,1.5,True,False,False,False,True
11_116,Beech,11.0,10.2,28.16869645,7.73,22.62,24069,0.008,1.25,4.529999999999973,6.639999999999986,False,False,False,False,True
11_117,Beech,11.0,12.1,28.65214921,14.85,21.05,104593,0.003,2.580000000000041,7.409999999999968,14.029999999999973,False,False,False,False,True
11_118,Beech,11.0,24.2,24.99972641,25.29,45.72,195749,0.003,5.9500000000000455,17.25,23.300000000000068,False,False,False,False,False
11_119,Beech,11.0,18.1,27.18077839,23.29,85.19,311283,0.003,3.1200000000000045,9.67999999999995,19.289999999999964,False,False,False,False,False
11_12,Beech,11.0,29.0,28.48832694,25.84,50.57,333212,0.002,5.190000000000055,17.930000000000064,23.690000000000055,False,False,False,False,False
11_120,Spruce,11.0,76.1,,11.5,21.05,34355,0.019,1.0500000000000682,6.82000000000005,10.210000000000036,False,False,False,False,False
11_121,Beech,11.0,8.0,28.94041052,14.66,25.5,27332,0.005,2.4500000000000455,7.639999999999986,13.379999999999995,False,False,False,False,True
11_122,Spruce,11.0,54.1,30.06577696,11.47,19.04,38821,0.02,1.25,8.879999999999995,10.81000000000006,False,False,False,False,True
11_123,Beech,11.0,11.5,28.4130282,19.95,44.88,193246,0.005,1.3899999999999864,5.930000000000064,14.180000000000064,False,False,False,False,True
11_124,Spruce,11.0,54.4,33.30923323,7.53,9.57,13602,0.044,0.5500000000000682,3.75,6.980000000000018,False,False,False,False,True
11_125,Beech,11.0,13.7,27.82613856,25.4,53.76,177579,0.006,2.9400000000000546,9.590000000000032,17.980000000000018,False,False,False,False,False
11_126,Beech,11.0,27.7,,6.38,2.82,7090,0.073,0.37999999999999545,3.330000000000041,5.7999999999999545,False,False,False,False,False
11_127,Beech,11.0,8.0,27.91648725,14.62,10.8,10894,0.01,1.3099999999999454,9.149999999999977,13.92999999999995,False,False,False,False,True
11_128,Oak,11.0,43.9,28.07175282,27.58,48.78,29660,0.01,1.8199999999999363,14.089999999999918,24.399999999999977,False,False,False,False,False
11_13,Beech,11.0,12.7,29.85731559,20.3,40.48,469952,0.004,3.7000000000000455,13.409999999999968,17.550000000000068,False,False,False,False,True
11_130,Beech,11.0,12.7,27.47470235,17.81,18.12,17162,0.006,2.0799999999999272,9.519999999999982,15.519999999999982,False,False,False,False,True
11_131,Beech,11.0,5.7,26.71475529,8.03,5.95,4185,0.026,0.82000000000005,4.509999999999991,7.789999999999964,False,False,False,False,True
11_132,Beech,11.0,14.6,26.50795438,18.68,24.94,25378,0.005,2.1299999999999955,10.870000000000005,15.899999999999977,False,False,False,False,True
11_133,Beech,11.0,10.2,,1.07,0.04,289,0.706,0.06999999999993634,0.34000000000003183,0.75,True,False,False,False,False
11_134,Beech,11.0,17.5,28.56643696,21.34,34.15,48814,0.004,5.1200000000000045,12.449999999999932,18.089999999999918,False,False,False,False,True
11_135,Oak,11.0,49.3,27.69130775,28.18,58.76,84548,0.002,3.3500000000000227,14.430000000000064,25.00999999999999,False,False,False,False,False
11_14,Larch,11.0,49.7,31.38271339,13.4,12.68,38380,0.041,0.6095000000000146,8.170000000000073,12.509999999999991,False,False,False,False,True
11_15,Beech,11.0,43.9,30.07908425,12.16,8.88,43055,0.032,0.7699999999999818,6.899999999999977,11.469999999999914,False,False,False,False,True
11_16,Beech,11.0,19.1,28.00264651,18.27,75.48,731517,0.001,4.850000000000023,12.440000000000055,16.529999999999973,False,False,False,False,True
11_17,Beech,11.0,37.9,29.8887091,30.69,63.79,430611,0.003,8.620000000000005,23.209999999999923,27.74000000000001,False,False,False,False,False
11_18,Beech,11.0,46.2,29.27776371,10.88,0.35,30052,0.043,0.5499999999999545,5.169999999999959,10.289999999999964,False,False,False,False,True
11_19,Beech,11.0,29.6,28.8339161,28.78,50.17,288757,0.004,3.0699999999999363,20.220000000000027,26.18999999999994,False,False,False,False,False
11_2,Beech,11.0,35.0,25.93412665,27.03,76.43,211125,0.003,7.1200000000000045,18.75999999999999,24.57000000000005,False,False,False,False,False
11_20,Beech,11.0,36.3,29.63764734,29.95,52.02,347940,0.002,7.899999999999977,25.600000000000023,28.269999999999982,False,False,False,False,False
11_21,Beech,11.0,39.2,,29.73,52.42,556958,0.002,8.450000000000045,22.389999999999986,27.920000000000073,False,False,False,False,False
11_22,Beech,11.0,13.4,29.21166425,5.81,13.63,23710,0.018,0.8799999999999955,3.159999999999968,5.009999999999991,False,False,False,False,True
11_23,Beech,11.0,9.5,29.21166425,11.73,9.18,42471,0.009,1.4099999999999682,4.909999999999968,11.100000000000023,False,False,False,False,True
11_24,Beech,11.0,14.3,29.25787345,17.83,52.47,542191,0.007,2.9500000000000455,11.740000000000009,16.120000000000005,False,False,False,False,True
11_25,Beech,11.0,40.7,29.07064254,11.83,11.24,45906,0.039,0.6800000000000637,8.879999999999995,11.540000000000077,False,False,False,False,True
11_26,Beech,11.0,34.4,27.98154463,28.78,46.21,287913,0.0,8.069999999999936,23.809999999999945,27.199999999999932,False,False,False,False,False
11_27,Beech,11.0,9.5,28.36592393,12.64,28.94,51968,0.006,2.8600000000000136,8.830000000000041,11.980000000000018,False,False,False,False,True
